价格,种族,Lv,Name,种族,Lv,Name,Result
6561.0,愚者,8,背负怪,愚者,11,俄耳普斯F,亚森
7077.0,愚者,8,背负怪,愚者,13,俄耳普斯·贼神F,亚森
6084.0,魔术师,5,猫妖精,魔术师,11,杰克霜精,皮克希
6084.0,魔术师,5,猫妖精,魔术师,12,杰克霜精,皮克希
6741.0,恋人,6,幸魂,恋人,13,天钿女命,皮克希
8721.0,恋人,6,幸魂,恋人,14,拉南希,皮克希
6084.0,魔术师,8,猫妖精,魔术师,11,杰克霜精,杰克灯笼
4269.0,魔术师,2,杰克灯笼,愚者,1,亚森,曼陀罗
8520.0,死神,9,恶灵,死神,17,斗牛士,曼陀罗
9645.0,死神,9,恶灵,死神,20,奴延,曼陀罗
4269.0,恋人,2,皮克希,愚者,1,亚森,阿珈席翁
9090.0,战车,10,软泥怪,战车,18,式王子,阿珈席翁
12093.0,战车,10,软泥怪,战车,25,金鬼,阿珈席翁
4425.0,死神,3,曼陀罗,魔术师,2,杰克灯笼,双角兽
7272.0,隐者,9,克鲁波克鲁,隐者,13,一本踏鞴,双角兽
4881.0,死神,3,曼陀罗,女教皇,6,希路奇,猫妖精
4953.0,月,7,女梦魔,恋人,2,皮克希,猫妖精
5769.0,魔术师,2,杰克灯笼,魔术师,11,杰克霜精,猫妖精
7533.0,魔术师,2,杰克灯笼,魔术师,17,猫妖,猫妖精
8964.0,魔术师,11,杰克霜精,魔术师,17,猫妖,猫妖精
4338.0,恋人,2,皮克希,魔术师,2,杰克灯笼,男梦魔
4653.0,恋人,2,皮克希,魔术师,5,猫妖精,男梦魔
4740.0,死神,3,曼陀罗,战车,3,阿珈席翁,男梦魔
4794.0,恋人,6,幸魂,魔术师,2,杰克灯笼,男梦魔
4845.0,隐者,4,双角兽,战车,3,阿珈席翁,男梦魔
15840.0,恶魔,19,佛劳洛斯,恶魔,27,安德拉斯,男梦魔
18705.0,恶魔,19,佛劳洛斯,恶魔,32,莉莉姆,男梦魔
22353.0,恶魔,27,安德拉斯,恶魔,32,莉莉姆,男梦魔
4356.0,死神,3,曼陀罗,愚者,1,亚森,凯尔皮
4617.0,死神,3,曼陀罗,隐者,4,双角兽,凯尔皮
4953.0,节制,7,玄武,恋人,2,皮克希,凯尔皮
5145.0,节制,7,玄武,隐者,4,双角兽,凯尔皮
5217.0,死神,3,曼陀罗,愚者,8,背负怪,凯尔皮
5256.0,死神,9,恶灵,愚者,1,亚森,凯尔皮
5268.0,节制,7,玄武,战车,3,阿珈席翁,凯尔皮
5325.0,恋人,2,皮克希,教皇,9,比利士,凯尔皮
11193.0,力量,15,狮爷,力量,20,鬼,凯尔皮
12945.0,力量,15,狮爷,力量,24,罗刹,凯尔皮
4530.0,隐者,4,双角兽,魔术师,2,杰克灯笼,幸魂
4845.0,隐者,4,双角兽,魔术师,5,猫妖精,幸魂
4953.0,月,7,女梦魔,魔术师,2,杰克灯笼,幸魂
5268.0,月,7,女梦魔,战车,3,阿珈席翁,幸魂
5325.0,隐者,9,克鲁波克鲁,魔术师,2,杰克灯笼,幸魂
6285.0,恋人,2,皮克希,恋人,13,天钿女命,幸魂
8265.0,恋人,2,皮克希,恋人,19,拉南希,幸魂
10212.0,恋人,13,天钿女命,恋人,19,拉南希,幸魂
4461.0,隐者,4,双角兽,愚者,1,亚森,希路奇
4653.0,战车,3,阿珈席翁,魔术师,2,杰克灯笼,希路奇
4845.0,恶魔,5,男梦魔,隐者,4,双角兽,希路奇
4968.0,战车,3,阿珈席翁,魔术师,5,猫妖精,希路奇
5145.0,月,7,女梦魔,隐者,4,双角兽,希路奇
5256.0,隐者,9,克鲁波克鲁,愚者,1,亚森,希路奇
12825.0,女教皇,11,飞天,女教皇,26,伊西丝,希路奇
21729.0,女教皇,11,飞天,女教皇,40,菊理媛,希路奇
4425.0,死神,3,曼陀罗,恋人,2,皮克希,玄武
4584.0,恶魔,5,男梦魔,愚者,1,亚森,玄武
4653.0,战车,3,阿珈席翁,恋人,2,皮克希,玄武
4794.0,女教皇,6,希路奇,魔术师,2,杰克灯笼,玄武
4881.0,死神,3,曼陀罗,恋人,6,幸魂,玄武
4968.0,恶魔,5,男梦魔,战车,3,阿珈席翁,玄武
4986.0,隐者,4,双角兽,女教皇,6,希路奇,玄武
5109.0,女教皇,6,希路奇,魔术师,5,猫妖精,玄武
5109.0,战车,3,阿珈席翁,恋人,6,幸魂,玄武
5325.0,死神,9,恶灵,恋人,2,皮克希,玄武
5445.0,恶魔,5,男梦魔,愚者,8,背负怪,玄武
5538.0,战车,10,软泥怪,恋人,2,皮克希,玄武
5769.0,女教皇,11,飞天,魔术师,2,杰克灯笼,玄武
8304.0,节制,11,木叶天狗,节制,15,真神,玄武
4584.0,战车,3,阿珈席翁,愚者,1,亚森,女梦魔
4653.0,恶魔,5,男梦魔,恋人,2,皮克希,女梦魔
4725.0,女教皇,6,希路奇,愚者,1,亚森,女梦魔
5109.0,恶魔,5,男梦魔,女教皇,6,希路奇,女梦魔
5109.0,恶魔,5,男梦魔,恋人,6,幸魂,女梦魔
5412.0,死神,3,曼陀罗,倒悬者,9,花魄,女梦魔
5445.0,战车,3,阿珈席翁,愚者,8,背负怪,女梦魔
5469.0,战车,10,软泥怪,愚者,1,亚森,女梦魔
5640.0,正义,9,天使,战车,3,阿珈席翁,女梦魔
5700.0,女教皇,11,飞天,愚者,1,亚森,女梦魔
8874.0,月,12,阴魔罗鬼,月,16,辉夜,女梦魔
9570.0,月,12,阴魔罗鬼,月,18,黑软泥怪,女梦魔
4794.0,力量,6,凯尔皮,魔术师,2,杰克灯笼,背负怪
5109.0,力量,6,凯尔皮,魔术师,5,猫妖精,背负怪
5268.0,恶魔,5,男梦魔,节制,7,玄武,背负怪
5412.0,死神,3,曼陀罗,正义,9,天使,背负怪
5640.0,倒悬者,9,花魄,战车,3,阿珈席翁,背负怪
5640.0,恶魔,5,男梦魔,正义,9,天使,背负怪
5781.0,力量,6,凯尔皮,教皇,9,比利士,背负怪
7125.0,愚者,1,亚森,愚者,16,高等皮克希,背负怪
8589.0,愚者,1,亚森,愚者,20,伊邪那岐,背负怪
9876.0,愚者,1,亚森,愚者,23,伊邪那岐·贼神,背负怪
